FIPS,FIPS_state,FIPS_county,state_abbrev,state,county,sq_mi,land_sq_mi,water_sq_mi
01001,01,001,AL,Alabama,Autauga,604.45,595.97,8.48
01003,01,003,AL,Alabama,Baldwin,2026.93,1596.35,430.58
01005,01,005,AL,Alabama,Barbour,904.52,884.9,19.61
01007,01,007,AL,Alabama,Bibb,626.16,623.03,3.14
01009,01,009,AL,Alabama,Blount,650.6,645.59,5.02
01011,01,011,AL,Alabama,Bullock,626.06,625.01,1.04
01013,01,013,AL,Alabama,Butler,777.92,776.87,1.05
01015,01,015,AL,Alabama,Calhoun,612.32,608.46,3.86
01017,01,017,AL,Alabama,Chambers,603.11,597.17,5.94
01019,01,019,AL,Alabama,Cherokee,599.95,553.12,46.83
01021,01,021,AL,Alabama,Chilton,700.76,693.98,6.78
01023,01,023,AL,Alabama,Choctaw,920.85,913.51,7.34
01025,01,025,AL,Alabama,Clarke,1252.51,1238.38,14.13
01027,01,027,AL,Alabama,Clay,606,605.07,0.93
01029,01,029,AL,Alabama,Cleburne,561.02,560.21,0.81
01031,01,031,AL,Alabama,Coffee,680.48,678.99,1.49
01033,01,033,AL,Alabama,Colbert,623.61,594.53,29.08
01035,01,035,AL,Alabama,Conecuh,852.51,850.79,1.71
01037,01,037,AL,Alabama,Coosa,666.36,652.44,13.91
01039,01,039,AL,Alabama,Covington,1043.86,1033.82,10.05
01041,01,041,AL,Alabama,Crenshaw,610.88,609.58,1.3
01043,01,043,AL,Alabama,Cullman,754.82,738.43,16.39
01045,01,045,AL,Alabama,Dale,562.67,561.07,1.6
01047,01,047,AL,Alabama,Dallas,993.37,980.71,12.66
01049,01,049,AL,Alabama,DeKalb,778.65,777.91,0.74
01051,01,051,AL,Alabama,Elmore,657.21,621.26,35.96
01053,01,053,AL,Alabama,Escambia,952.95,947.38,5.57
01055,01,055,AL,Alabama,Etowah,548.75,534.82,13.93
01057,01,057,AL,Alabama,Fayette,629.34,627.66,1.68
01059,01,059,AL,Alabama,Franklin,646.51,635.64,10.86
01061,01,061,AL,Alabama,Geneva,578.9,576.28,2.62
01063,01,063,AL,Alabama,Greene,659.93,645.87,14.07
01065,01,065,AL,Alabama,Hale,656.47,643.74,12.74
01067,01,067,AL,Alabama,Henry,568.33,561.8,6.53
01069,01,069,AL,Alabama,Houston,581.65,580.36,1.29
01071,01,071,AL,Alabama,Jackson,1126.77,1078.74,48.02
01073,01,073,AL,Alabama,Jefferson,1123.8,1112.61,11.2
01075,01,075,AL,Alabama,Lamar,605.47,604.85,0.62
01077,01,077,AL,Alabama,Lauderdale,718.78,669.46,49.32
01079,01,079,AL,Alabama,Lawrence,718.07,693.38,24.68
01081,01,081,AL,Alabama,Lee,615.55,608.71,6.84
01083,01,083,AL,Alabama,Limestone,607.08,568.05,39.03
