date,county,state,fips,cases,deaths
1/21/20,Snohomish,Washington,53061,1,0
1/22/20,Snohomish,Washington,53061,1,0
1/23/20,Snohomish,Washington,53061,1,0
1/24/20,Cook,Illinois,17031,1,0
1/24/20,Snohomish,Washington,53061,1,0
1/25/20,Orange,California,06059,1,0
1/25/20,Cook,Illinois,17031,1,0
1/25/20,Snohomish,Washington,53061,1,0
1/26/20,Maricopa,Arizona,04013,1,0
1/26/20,Los Angeles,California,06037,1,0
1/26/20,Orange,California,06059,1,0
1/26/20,Cook,Illinois,17031,1,0
1/26/20,Snohomish,Washington,53061,1,0
1/27/20,Maricopa,Arizona,04013,1,0
1/27/20,Los Angeles,California,06037,1,0
1/27/20,Orange,California,06059,1,0
1/27/20,Cook,Illinois,17031,1,0
1/27/20,Snohomish,Washington,53061,1,0
1/28/20,Maricopa,Arizona,04013,1,0
1/28/20,Los Angeles,California,06037,1,0
1/28/20,Orange,California,06059,1,0
1/28/20,Cook,Illinois,17031,1,0
1/28/20,Snohomish,Washington,53061,1,0
1/29/20,Maricopa,Arizona,04013,1,0
1/29/20,Los Angeles,California,06037,1,0
1/29/20,Orange,California,06059,1,0
1/29/20,Cook,Illinois,17031,1,0
1/29/20,Snohomish,Washington,53061,1,0
1/30/20,Maricopa,Arizona,04013,1,0
1/30/20,Los Angeles,California,06037,1,0
1/30/20,Orange,California,06059,1,0
1/30/20,Cook,Illinois,17031,2,0
1/30/20,Snohomish,Washington,53061,1,0
1/31/20,Maricopa,Arizona,04013,1,0
1/31/20,Los Angeles,California,06037,1,0
1/31/20,Orange,California,06059,1,0
1/31/20,Santa Clara,California,06085,1,0
1/31/20,Cook,Illinois,17031,2,0
1/31/20,Snohomish,Washington,53061,1,0
2/1/20,Maricopa,Arizona,04013,1,0
2/1/20,Los Angeles,California,06037,1,0
2/1/20,Orange,California,06059,1,0
2/1/20,Santa Clara,California,06085,1,0
2/1/20,Cook,Illinois,17031,2,0
2/1/20,Suffolk,Massachusetts,25025,1,0
2/1/20,Snohomish,Washington,53061,1,0
2/2/20,Maricopa,Arizona,04013,1,0
2/2/20,Los Angeles,California,06037,1,0
2/2/20,Orange,California,06059,1,0
2/2/20,San Francisco,California,06075,2,0
2/2/20,Santa Clara,California,06085,2,0
2/2/20,Cook,Illinois,17031,2,0
2/2/20,Suffolk,Massachusetts,25025,1,0
2/2/20,Snohomish,Washington,53061,1,0
2/3/20,Maricopa,Arizona,04013,1,0
2/3/20,Los Angeles,California,06037,1,0
2/3/20,Orange,California,06059,1,0
2/3/20,San Francisco,California,06075,2,0
2/3/20,Santa Clara,California,06085,2,0
2/3/20,Cook,Illinois,17031,2,0
2/3/20,Suffolk,Massachusetts,25025,1,0
2/3/20,Snohomish,Washington,53061,1,0
2/4/20,Maricopa,Arizona,04013,1,0
2/4/20,Los Angeles,California,06037,1,0
2/4/20,Orange,California,06059,1,0
2/4/20,San Francisco,California,06075,2,0
2/4/20,Santa Clara,California,06085,2,0
2/4/20,Cook,Illinois,17031,2,0
2/4/20,Suffolk,Massachusetts,25025,1,0
2/4/20,Snohomish,Washington,53061,1,0
2/5/20,Maricopa,Arizona,04013,1,0
2/5/20,Los Angeles,California,06037,1,0
2/5/20,Orange,California,06059,1,0
2/5/20,San Francisco,California,06075,2,0
2/5/20,Santa Clara,California,06085,2,0
2/5/20,Cook,Illinois,17031,2,0
2/5/20,Suffolk,Massachusetts,25025,1,0
2/5/20,Snohomish,Washington,53061,1,0
2/5/20,Dane,Wisconsin,55025,1,0
2/6/20,Maricopa,Arizona,04013,1,0
2/6/20,Los Angeles,California,06037,1,0
2/6/20,Orange,California,06059,1,0
2/6/20,San Francisco,California,06075,2,0
2/6/20,Santa Clara,California,06085,2,0
2/6/20,Cook,Illinois,17031,2,0
2/6/20,Suffolk,Massachusetts,25025,1,0
2/6/20,Snohomish,Washington,53061,1,0
2/6/20,Dane,Wisconsin,55025,1,0
2/7/20,Maricopa,Arizona,04013,1,0
2/7/20,Los Angeles,California,06037,1,0
2/7/20,Orange,California,06059,1,0
2/7/20,San Francisco,California,06075,2,0
2/7/20,Santa Clara,California,06085,2,0
2/7/20,Cook,Illinois,17031,2,0
2/7/20,Suffolk,Massachusetts,25025,1,0
2/7/20,Snohomish,Washington,53061,1,0
2/7/20,Dane,Wisconsin,55025,1,0
2/8/20,Maricopa,Arizona,04013,1,0
2/8/20,Los Angeles,California,06037,1,0
2/8/20,Orange,California,06059,1,0
2/8/20,San Francisco,California,06075,2,0
2/8/20,Santa Clara,California,06085,2,0
2/8/20,Cook,Illinois,17031,2,0
2/8/20,Suffolk,Massachusetts,25025,1,0
2/8/20,Snohomish,Washington,53061,1,0
2/8/20,Dane,Wisconsin,55025,1,0
2/9/20,Maricopa,Arizona,04013,1,0
2/9/20,Los Angeles,California,06037,1,0
2/9/20,Orange,California,06059,1,0
2/9/20,San Francisco,California,06075,2,0
2/9/20,Santa Clara,California,06085,2,0
2/9/20,Cook,Illinois,17031,2,0
2/9/20,Suffolk,Massachusetts,25025,1,0
2/9/20,Snohomish,Washington,53061,1,0
2/9/20,Dane,Wisconsin,55025,1,0
2/10/20,Maricopa,Arizona,04013,1,0
2/10/20,Los Angeles,California,06037,1,0
2/10/20,Orange,California,06059,1,0
2/10/20,San Diego,California,06073,1,0
2/10/20,San Francisco,California,06075,2,0
2/10/20,Santa Clara,California,06085,2,0
2/10/20,Cook,Illinois,17031,2,0
2/10/20,Suffolk,Massachusetts,25025,1,0
2/10/20,Snohomish,Washington,53061,1,0
2/10/20,Dane,Wisconsin,55025,1,0
2/11/20,Maricopa,Arizona,04013,1,0
2/11/20,Los Angeles,California,06037,1,0
2/11/20,Orange,California,06059,1,0
2/11/20,San Diego,California,06073,1,0
2/11/20,San Francisco,California,06075,2,0
2/11/20,Santa Clara,California,06085,2,0
2/11/20,Cook,Illinois,17031,2,0
2/11/20,Suffolk,Massachusetts,25025,1,0
2/11/20,Snohomish,Washington,53061,1,0
2/11/20,Dane,Wisconsin,55025,1,0
2/12/20,Maricopa,Arizona,04013,1,0
2/12/20,Los Angeles,California,06037,1,0
2/12/20,Orange,California,06059,1,0
2/12/20,San Diego,California,06073,1,0
2/12/20,San Francisco,California,06075,2,0
2/12/20,Santa Clara,California,06085,2,0
2/12/20,Cook,Illinois,17031,2,0
2/12/20,Suffolk,Massachusetts,25025,1,0
2/12/20,Bexar,Texas,48029,1,0
2/12/20,Snohomish,Washington,53061,1,0
2/12/20,Dane,Wisconsin,55025,1,0
2/13/20,Maricopa,Arizona,04013,1,0
2/13/20,Los Angeles,California,06037,1,0
2/13/20,Orange,California,06059,1,0
2/13/20,San Diego,California,06073,1,0
2/13/20,San Francisco,California,06075,2,0
2/13/20,Santa Clara,California,06085,2,0
2/13/20,Cook,Illinois,17031,2,0
2/13/20,Suffolk,Massachusetts,25025,1,0
2/13/20,Bexar,Texas,48029,2,0
2/13/20,Snohomish,Washington,53061,1,0
2/13/20,Dane,Wisconsin,55025,1,0
2/14/20,Maricopa,Arizona,04013,1,0
2/14/20,Los Angeles,California,06037,1,0
2/14/20,Orange,California,06059,1,0
2/14/20,San Diego,California,06073,1,0
2/14/20,San Francisco,California,06075,2,0
2/14/20,Santa Clara,California,06085,2,0
2/14/20,Cook,Illinois,17031,2,0
2/14/20,Suffolk,Massachusetts,25025,1,0
2/14/20,Bexar,Texas,48029,2,0
2/14/20,Snohomish,Washington,53061,1,0
2/14/20,Dane,Wisconsin,55025,1,0
2/15/20,Maricopa,Arizona,04013,1,0
2/15/20,Los Angeles,California,06037,1,0
2/15/20,Orange,California,06059,1,0
2/15/20,San Diego,California,06073,1,0
2/15/20,San Francisco,California,06075,2,0
2/15/20,Santa Clara,California,06085,2,0
2/15/20,Cook,Illinois,17031,2,0
